OS: Windows, CPU Core: 8, CPU Name: Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz, GPU Name: NVIDIA GeForce GTX 960/PCIe/SSE2

Frame,FPS,FrameTime(ms),CPU(ms),GPU(ms)
0,19.1377,52.253,48.1949,4.05808
1,20.4215,48.968,44.4103,4.55773
2,15.5475,64.319,59.8186,4.50035
3,20.9881,47.646,43.8572,3.78877
4,20.8664,47.924,44.8609,3.06314
5,20.6988,48.312,44.7581,3.55386
6,19.6491,50.893,46.9766,3.91645
7,18.0652,55.355,50.9989,4.3561
8,21.0677,47.466,42.993,4.47302
9,18.2252,54.869,50.4141,4.45488
10,21.5429,46.419,42.2786,4.14038
11,19.9025,50.245,46.0128,4.23222
12,20.3836,49.059,44.5398,4.51923
13,17.7958,56.193,51.7344,4.45856
14,18.6064,53.745,49.9493,3.79568
15,17.8221,56.11,51.7928,4.31722
16,19.8807,50.3,47.3138,2.98618
17,19.0035,52.622,49.6861,2.9359
18,18.3086,54.619,51.3599,3.25907
19,18.9876,52.666,49.037,3.62896
20,20.5271,48.716,44.4886,4.22736
21,20.5939,48.558,44.4277,4.1303
22,19.2871,51.848,48.321,3.52701
23,15.5173,64.444,56.1553,8.28867
24,18.7688,53.28,48.9784,4.30163
25,18.062,55.365,50.854,4.51104
26,20.4428,48.917,44.5564,4.36058
27,16.1661,61.858,56.6358,5.22221
28,19.848,50.383,46.4946,3.88838
29,18.1831,54.996,52.1524,2.84355
30,19.0136,52.594,48.5661,4.02794
31,18.4159,54.301,51.2143,3.08672
32,19.1861,52.121,49.0818,3.03917
33,18.2879,54.681,50.2414,4.43965
34,19.1124,52.322,48.7104,3.61155
35,15.2348,65.639,61.5869,4.0521
36,19.2249,52.016,47.8633,4.15267
37,16.8033,59.512,55.1573,4.35466
38,19.8799,50.302,46.2428,4.05923
39,19.24,51.975,45.4604,6.51462
40,17.6056,56.8,51.8159,4.9841
41,21.2843,46.983,43.5015,3.48147
42,20.6731,48.372,44.6962,3.67581
43,19.7461,50.643,47.868,2.77498
44,19.9426,50.144,47.1624,2.9816
45,19.3998,51.547,47.6945,3.85245
46,18.4543,54.188,49.1072,5.08077
47,18.6592,53.593,47.7128,5.88016
48,19.2637,51.911,47.8989,4.0121
49,20.0152,49.962,45.7282,4.23379
50,16.7827,59.585,55.2606,4.32445
51,20.1386,49.656,45.6016,4.0544
52,19.8815,50.298,45.6814,4.61664
53,16.0681,62.235,58.3589,3.87613
54,20.5897,48.568,44.8388,3.72922
55,20.9705,47.686,44.6877,2.99827
56,16.3121,61.304,58.4085,2.89552
57,19.4863,51.318,48.194,3.124
58,20.0723,49.82,46.6296,3.19043
59,19.2686,51.898,48.6064,3.29158
60,17.9215,55.799,51.7993,3.99974
61,20.5622,48.633,44.4663,4.16675
62,15.7828,63.36,57.0498,6.31024
63,17.9372,55.75,51.5776,4.17235
64,17.656,56.638,50.5328,6.10525
65,20.2081,49.485,45.9778,3.50723
66,19.9557,50.111,45.3372,4.77382
67,21.0035,47.611,43.7639,3.8471
68,19.134,52.263,47.7991,4.4639
69,15.055,66.423,63.4857,2.93725
70,19.5622,51.119,47.6251,3.49386
71,17.6305,56.72,53.6593,3.0607
72,18.7498,53.334,48.9396,4.39437
73,18.21,54.915,50.7777,4.13731
74,19.263,51.913,47.7782,4.13482
75,17.1512,58.305,54.1749,4.13011
76,18.9653,52.728,48.6634,4.06458
77,15.0598,66.402,62.1676,4.23443
78,18.6592,53.593,48.2478,5.34518
79,20.1211,49.699,44.505,5.19402
80,17.4914,57.171,54.2981,2.87286
81,21.3052,46.937,44.0202,2.91683
82,20.9192,47.803,44.8732,2.92976
83,20.9223,47.796,44.7355,3.06048
84,19.1905,52.109,48.1229,3.98608
85,21.796,45.88,41.6023,4.2777
86,21.4994,46.513,42.3335,4.17946
87,18.6498,53.62,49.4021,4.21789
88,21.5234,46.461,42.2396,4.22141
89,20.8411,47.982,43.5295,4.45248
90,14.8958,67.133,62.7297,4.4033
91,21.6525,46.184,41.8248,4.35917
92,19.1994,52.085,48.7242,3.36083
93,20.9223,47.796,44.0836,3.71245
94,20.4298,48.948,45.9554,2.99261
95,21.3684,46.798,43.6679,3.13014
96,19.6599,50.865,47.0557,3.80934
97,21.1537,47.273,43.1584,4.11462
98,19.8519,50.373,46.2689,4.10406
99,21.2703,47.014,43.0288,3.98525
